age,class,coninc,degree,educ,fechld,gunlaw,happy,satfin,sex,sibs,tvhours,wrkfull,healthre,female,maritals,healthy,vistzoo
51,3,163843.847,4,18,2,,1,1,1,5,1,1,3,0,1,1,2
59,1,72600,0,9,4,1,2,3,1,2,2,0,2,0,1,0,0
53,3,,1,13,4,2,1,1,2,3,0,1,3,1,1,1,1
47,2,19965,1,13,,2,1,1,1,1,,1,3,0,1,1,
41,4,163843.847,4,20,,1,1,2,2,3,,1,4,1,1,1,
64,3,,1,12,,2,1,2,1,2,,0,2,0,1,0,
80,3,59895,4,18,3,1,2,2,2,5,2,0,3,1,1,1,1
29,2,39930,3,16,4,1,3,3,2,2,6,0,1,1,1,0,1
64,3,9982.5,1,12,2,1,2,2,1,3,2,0,3,0,0,1,2
40,1,49005,1,13,,1,2,3,2,4,,1,3,1,0,1,
56,2,72600,3,16,3,1,2,3,2,6,2,1,1,1,1,0,0
71,3,,3,16,,1,2,1,2,4,,0,3,1,1,1,
74,3,72600,3,16,,1,1,1,2,2,,0,3,1,1,1,
65,2,19965,3,16,,1,1,2,2,6,,0,3,1,0,1,
41,1,23595,1,12,,1,2,3,2,8,,0,1,1,1,0,
38,3,87120,4,20,,2,2,2,1,4,,1,3,0,1,1,
25,2,23595,3,16,,1,1,1,1,1,,0,4,0,0,1,
25,3,116160,4,18,2,1,2,1,2,1,1,1,4,1,0,1,4
26,2,19965,1,16,,1,3,3,2,6,,0,3,1,0,1,
34,3,101640,4,18,2,1,1,2,2,2,0,1,4,1,1,1,3
36,3,72600,3,16,2,1,2,3,1,1,3,1,3,0,0,1,0
59,2,72600,0,11,,1,2,2,1,3,,1,4,0,1,1,
45,2,116160,2,14,,1,2,2,2,3,,1,4,1,1,1,
44,3,163843.847,4,16,1,1,2,1,1,1,1,1,3,0,1,1,5
66,3,72600,1,12,,1,1,1,2,1,,0,4,1,1,1,
43,4,163843.847,3,16,1,1,1,1,2,1,0,1,4,1,1,1,9
44,3,32670,4,18,1,1,3,3,1,2,2,1,2,0,0,0,0
37,3,59895,3,20,,1,2,3,1,2,,1,4,0,1,1,
48,3,72600,4,18,3,2,2,2,1,3,1,1,4,0,1,1,0
34,2,17242.5,1,12,1,,2,2,2,3,2,1,3,1,0,1,1
25,3,39930,1,12,,1,2,1,1,1,,1,3,0,1,1,
44,2,32670,1,13,2,2,2,3,2,6,1,1,3,1,0,1,0
63,2,,0,10,,1,1,3,2,6,,0,2,1,1,0,
64,2,15427.5,1,14,2,2,3,2,2,9,12,0,2,1,0,0,0
31,2,39930,0,10,4,1,1,3,2,4,3,1,4,1,1,1,0
53,4,163843.847,4,20,,1,1,1,2,5,,1,4,1,1,1,
53,3,,3,16,,1,2,1,2,2,,0,4,1,1,1,
59,3,163843.847,4,18,2,1,2,1,1,3,2,1,3,0,1,1,1
47,3,163843.847,4,18,2,1,2,2,1,1,1,1,3,0,1,1,4
52,2,39930,0,10,3,1,3,2,1,6,3,1,1,0,1,0,1
26,2,49005,0,11,,1,2,2,2,4,,1,3,1,0,1,
25,2,23595,1,11,,1,3,2,2,1,,0,2,1,0,0,
44,2,49005,0,6,,1,1,2,1,6,,1,4,0,1,1,
29,2,32670,1,13,,2,2,1,1,1,,1,4,0,0,1,
61,3,,1,13,3,2,1,3,1,2,4,0,3,0,1,1,0
66,2,72600,1,14,3,2,2,2,1,3,3,0,3,0,0,1,0
26,3,11797.5,3,16,1,2,2,1,1,3,0,1,4,0,0,1,0
29,3,59895,3,16,,1,1,2,2,1,,1,4,1,0,1,
30,3,23595,3,20,,1,1,2,1,1,,0,4,0,0,1,
56,2,19965,1,12,,1,2,3,1,6,,0,2,0,1,0,
28,2,49005,1,12,2,1,2,2,1,6,8,1,3,0,0,1,0
65,3,39930,1,12,2,1,2,2,1,7,6,0,1,0,0,0,0
49,4,163843.847,3,16,1,1,1,1,1,2,1,1,4,0,1,1,1
30,1,19965,1,14,2,1,2,2,2,2,6,0,2,1,1,0,2
67,3,59895,1,12,,1,2,1,1,3,,1,2,0,1,0,
65,3,19965,4,17,3,1,2,1,1,2,0,0,3,0,0,1,0
63,1,8167.5,1,12,,1,3,2,2,4,,0,4,1,0,1,
34,4,163843.847,4,17,1,1,1,2,2,1,1,1,3,1,1,1,2
37,3,163843.847,3,16,,1,1,2,2,4,,1,4,1,1,1,
81,3,,1,12,4,1,1,1,1,3,5,0,3,0,1,1,0
58,3,163843.847,4,20,,1,2,3,2,3,,1,4,1,1,1,
37,3,163843.847,4,20,,1,2,3,2,2,,1,4,1,0,1,
31,3,49005,3,19,,2,1,1,1,1,,1,4,0,0,1,
57,3,101640,4,18,2,1,2,2,2,6,2,1,3,1,0,1,0
59,3,163843.847,4,20,,1,2,1,2,1,,1,4,1,1,1,
59,4,163843.847,3,16,1,1,2,1,1,2,4,1,3,0,1,1,1
59,3,163843.847,4,18,,1,2,1,2,7,,1,4,1,1,1,
29,2,32670,1,13,2,1,2,2,1,2,2,1,3,0,0,1,1
28,2,87120,4,16,,1,1,2,1,2,,1,3,0,1,1,
71,2,23595,0,9,2,1,2,3,2,4,8,0,1,1,0,0,0
61,1,32670,1,12,2,1,2,3,2,6,5,0,3,1,0,1,1
34,3,8167.5,4,19,,1,2,2,2,1,,1,3,1,0,1,
48,2,6534,1,14,1,1,3,3,1,2,1,0,3,0,0,1,0
27,3,32670,3,16,,1,2,1,1,2,,1,4,0,0,1,
26,2,59895,3,16,,2,1,2,2,1,,1,3,1,0,1,
31,2,23595,1,12,2,2,2,2,2,3,2,1,3,1,1,1,1
44,3,116160,4,18,,1,2,3,2,4,,0,3,1,1,1,
73,3,87120,4,20,2,1,2,1,1,1,2,1,3,0,0,1,0
37,2,163843.847,1,12,,2,2,1,1,1,,1,3,0,1,1,
82,3,59895,2,14,,1,2,2,2,4,,0,2,1,0,0,
29,2,32670,1,12,,1,1,1,1,3,,1,3,0,0,1,
32,2,13612.5,4,20,,1,3,3,1,0,,0,3,0,0,1,
50,2,23595,1,12,2,1,1,2,1,8,2,1,3,0,0,1,0
34,3,59895,1,13,1,1,1,2,1,2,2,1,4,0,1,1,1
58,2,72600,1,12,,1,1,2,2,3,,0,3,1,1,1,
58,2,39930,1,13,3,2,2,2,2,8,2,1,2,1,0,0,2
22,3,23595,2,15,,1,3,3,1,2,,0,2,0,0,0,
24,1,13612.5,1,14,,2,2,2,2,4,,0,3,1,0,1,
32,1,,1,12,,2,2,3,2,2,,0,2,1,0,0,
20,2,72600,1,12,3,2,1,2,1,4,2,1,3,0,0,1,1
54,3,87120,3,16,,1,2,2,2,1,,1,4,1,1,1,
55,3,163843.847,3,16,1,1,1,1,2,1,1,1,2,1,1,0,2
42,2,87120,3,16,,1,2,2,2,2,,1,2,1,0,0,
68,2,39930,3,18,2,1,1,1,2,2,3,0,4,1,1,1,0
59,2,87120,2,14,,1,1,2,2,2,,0,3,1,1,1,
32,2,72600,1,12,1,2,2,1,1,1,0,1,3,0,0,1,0
51,3,116160,1,13,,1,2,1,1,4,,1,3,0,0,1,
34,3,59895,4,19,2,1,1,2,2,2,2,1,4,1,1,1,0
24,2,13612.5,1,15,,2,3,1,1,3,,0,3,0,0,1,
45,2,49005,2,17,1,1,2,3,2,1,3,0,3,1,1,1,1
58,3,72600,1,13,2,1,2,1,1,2,3,1,1,0,1,0,0
47,2,87120,4,20,1,1,1,3,2,1,0,1,4,1,1,1,0
50,4,163843.847,4,18,1,1,1,1,1,1,1,1,3,0,1,1,3
33,4,163843.847,4,16,1,1,2,2,2,1,2,1,3,1,1,1,9
23,2,23595,1,14,3,1,2,3,2,1,2,0,4,1,0,1,0
33,3,163843.847,3,18,,1,2,1,1,0,,1,2,0,1,0,
51,3,87120,3,16,2,1,3,2,2,3,2,0,3,1,1,1,0
52,3,101640,3,16,1,1,2,3,2,4,2,1,4,1,0,1,1
69,4,163843.847,4,20,,1,1,1,1,3,,1,4,0,1,1,
74,3,87120,3,17,,1,2,2,2,1,,0,3,1,0,1,
76,3,72600,4,17,2,1,2,1,2,0,0,0,2,1,0,0,0
47,2,49005,0,6,,1,2,3,1,5,,1,2,0,1,0,
31,1,23595,1,12,,1,2,1,2,0,,0,3,1,1,1,
87,2,,0,12,3,1,2,1,2,5,8,0,3,1,0,1,0
58,3,,3,18,,1,2,2,2,4,,1,3,1,1,1,
27,3,15427.5,4,20,,,3,1,2,2,,1,3,1,0,1,
32,2,49005,1,13,,1,2,2,2,2,,1,2,1,0,0,
24,2,101640,1,12,3,2,2,2,1,2,1,1,4,0,0,1,0
19,2,19965,1,12,,1,3,1,2,2,,1,4,1,0,1,
41,1,1452,0,7,,2,3,2,1,1,,0,3,0,0,1,
33,3,101640,4,16,,1,2,2,1,2,,1,3,0,0,1,
48,3,49005,1,10,4,1,2,2,1,1,1,1,2,0,1,0,1
47,2,87120,1,12,1,1,2,2,2,7,2,1,3,1,0,1,0
72,3,72600,1,15,1,1,3,3,2,2,3,0,3,1,0,1,1
60,3,101640,4,19,,2,2,1,2,3,,0,4,1,1,1,
45,2,5445,0,6,,2,2,1,2,11,,0,3,1,1,1,
70,3,,4,20,,1,3,1,2,1,,0,2,1,0,0,
79,2,,1,12,2,1,1,1,2,3,3,0,4,1,1,1,0
37,3,27225,1,14,,1,3,3,2,3,,1,3,1,0,1,
39,3,49005,3,17,,1,1,2,2,2,,0,4,1,1,1,
57,2,32670,1,12,2,1,2,3,2,1,6,0,2,1,1,0,0
55,2,49005,1,15,,2,1,2,2,8,,1,4,1,0,1,
28,2,39930,1,14,3,1,1,3,1,4,2,1,3,0,0,1,1
64,2,32670,0,9,,1,2,3,2,3,,0,2,1,1,0,
63,2,72600,3,16,2,2,1,2,1,1,10,0,3,0,1,1,1
47,3,59895,3,16,2,1,2,1,2,4,1,1,3,1,0,1,0
38,2,72600,1,14,,1,3,3,1,4,,0,2,0,0,0,
49,3,116160,4,18,,2,2,2,2,3,,0,3,1,1,1,
74,2,11797.5,1,12,,1,3,3,2,2,,0,1,1,0,0,
34,2,49005,3,16,1,2,1,1,1,2,0,0,4,0,0,1,0
42,3,59895,1,12,,1,2,2,1,0,,0,2,0,1,0,
46,3,27225,0,12,1,1,2,2,2,4,5,1,4,1,0,1,1
51,3,363,1,14,,2,3,3,1,11,,0,3,0,0,1,
54,3,32670,0,7,,1,2,3,2,2,,0,2,1,0,0,
53,2,59895,1,12,4,2,3,3,1,9,0,0,2,0,1,0,0
36,3,72600,3,17,2,1,2,3,1,4,1,1,4,0,0,1,1
76,3,6534,3,15,3,2,1,1,1,2,4,0,2,0,0,0,1
33,3,59895,2,14,,2,2,2,2,4,,0,3,1,1,1,
69,4,19965,4,20,1,1,2,2,2,0,5,0,3,1,0,1,0
32,3,116160,1,13,2,1,1,3,1,3,1,1,2,0,0,0,1
48,2,59895,1,13,,2,2,2,2,1,,0,2,1,1,0,
72,3,59895,4,20,,1,2,1,2,1,,0,4,1,0,1,
